model,train-dataset,test-settings,test-hash,test-size,n_samples,#matches,match_percentage
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,50000000,122363,1.36%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,75000000,152830,1.70%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,100000000,177447,1.97%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,250000000,273099,3.04%
passgan,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,500000000,362375,4.03%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,1000000,1,0.00%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,2500000,1,0.00%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,5000000,1,0.00%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,7500000,2,0.00%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,10000000,3,0.00%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,25000000,7,0.01%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,50000000,10,0.01%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,75000000,12,0.01%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,100000000,15,0.02%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,250000000,30,0.04%
vgpt2,libero,all-12--90-100-80,df603a4e45a88a79acfed640aad9d058,85155,500000000,42,0.05%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,1000000,3,0.00%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,2500000,4,0.01%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,5000000,10,0.01%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,7500000,13,0.02%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,10000000,13,0.02%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,25000000,22,0.03%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,50000000,33,0.05%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,75000000,38,0.06%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,100000000,42,0.06%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,250000000,84,0.13%
vgpt2,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,500000000,132,0.20%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,1000000,777,0.12%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,2500000,1850,0.29%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,5000000,3513,0.55%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,7500000,5138,0.80%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,10000000,6702,1.04%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,25000000,14380,2.23%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,50000000,23657,3.67%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,75000000,30636,4.75%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,100000000,36364,5.64%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,250000000,58508,9.08%
vgpt2,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,500000000,78279,12.15%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,1000000,860,0.08%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,2500000,2133,0.19%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,5000000,4264,0.39%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,7500000,6200,0.57%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,10000000,8167,0.75%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,25000000,18162,1.66%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,50000000,31918,2.91%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,75000000,42814,3.91%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,100000000,52267,4.77%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,250000000,89433,8.16%
vgpt2,taobao,all-12--90-100-80,f6dd12b97e6484962c25d2a0fc61e398,1095563,500000000,123361,11.26%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,1000000,4114,0.13%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,2500000,10062,0.33%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,5000000,19672,0.64%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,7500000,28692,0.94%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,10000000,37388,1.22%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,25000000,82445,2.69%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,50000000,139399,4.55%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,75000000,183409,5.98%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,100000000,219233,7.15%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,250000000,355607,11.60%
vgpt2,rockyou,all-12--90-100-80,709a6534961a8fe1db7f5a98f8dc79cb,3065302,500000000,477794,15.59%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,1000000,1120,0.25%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,2500000,2650,0.59%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,5000000,4820,1.07%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,7500000,6689,1.49%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,10000000,8197,1.83%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,25000000,15181,3.38%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,50000000,22546,5.03%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,75000000,27816,6.20%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,100000000,31982,7.13%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,250000000,47444,10.58%
vgpt2,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,500000000,60607,13.51%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,1000000,2660,0.03%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,2500000,6567,0.07%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,5000000,12924,0.14%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,7500000,19240,0.21%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,10000000,25400,0.28%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,25000000,60095,0.67%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,50000000,111886,1.25%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,75000000,157528,1.75%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,100000000,198534,2.21%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,250000000,384918,4.28%
vgpt2,linkedin,all-12--90-100-80,4b7e012b0ff155a61d7a55e923f2b061,8985344,500000000,589734,6.56%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,1000000,165,0.01%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,2500000,420,0.02%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,5000000,804,0.04%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,7500000,1168,0.06%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,10000000,1557,0.08%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,25000000,3630,0.19%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,50000000,6770,0.36%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,75000000,9608,0.52%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,100000000,12278,0.66%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,250000000,24793,1.33%
vgpt2,000webhost,all-12--90-100-80,56947e7b849e2aa4d942c340cd62db69,1863370,500000000,39848,2.14%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,1000000,4128,6.17%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,2500000,6862,10.26%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,5000000,9363,14.00%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,7500000,10909,16.31%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,10000000,12001,17.94%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,25000000,15915,23.79%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,50000000,19010,28.42%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,75000000,20987,31.38%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,100000000,22305,33.35%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,250000000,26645,39.83%
passgpt,ashleymadison,all-12--90-100-80,6cf9327b6960798244fea256805b4ac7,66889,500000000,29986,44.83%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,1000000,12978,2.01%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,2500000,28468,4.42%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,5000000,47242,7.33%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,7500000,61091,9.48%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,10000000,71802,11.14%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,25000000,108987,16.91%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,50000000,138793,21.54%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,75000000,156414,24.27%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,100000000,168903,26.21%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,250000000,209524,32.52%
passgpt,gmail,all-12--90-100-80,34ba8951d04925e317dd94b62d6699bd,644356,500000000,240791,37.37%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,1000000,13856,3.09%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,2500000,28223,6.29%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,5000000,43577,9.71%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,7500000,53592,11.95%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,10000000,60920,13.58%
passgpt,mailru,all-12--90-100-80,7b7fe15f8236c732f2d8d5c7f2f468e9,448593,25000000,84394,18.81%
