model,dataset,test-size,key,percentage
passflow,rockyou,3.75,r3,3.75
passflow,rockyou,1.1,r7,1.1
passflow,rockyou,1.76,r18,1.76
passflow,rockyou,5.47,r12,5.47
passflow,rockyou,0.0,r17,0.0
passflow,rockyou,0.52,r15,0.52
passflow,rockyou,0.0,r16,0.0
passflow,rockyou,0.31,r8,0.31
passflow,rockyou,0.56,r13,0.56
passflow,rockyou,0.0,r5,0.0
passflow,linkedin,5.71,r1,5.71
passflow,linkedin,6.38,r2,6.38
passflow,linkedin,5.59,r4,5.59
passflow,linkedin,4.79,r14,4.79
passflow,linkedin,2.93,r6,2.93
passflow,linkedin,3.05,r10,3.05
passflow,linkedin,5.5,r19,5.5
passflow,linkedin,0.98,r12,0.98
passflow,linkedin,0.01,r9,0.01
passflow,linkedin,0.09,r11,0.09
passflow,linkedin,0.11,r18,0.11
passflow,linkedin,0.14,r7,0.14
passflow,linkedin,0.01,r17,0.01
passflow,linkedin,0.0,r16,0.0
passflow,linkedin,0.0,r3,0.0
passflow,linkedin,0.04,r8,0.04
passflow,linkedin,0.13,r15,0.13
passflow,linkedin,0.03,r13,0.03
passflow,linkedin,0.0,r5,0.0
passgpt,ashleymadison,48.34,r1,48.34
passgpt,ashleymadison,50.24,r2,50.24
passgpt,ashleymadison,34.89,r6,34.89
passgpt,ashleymadison,40.3,r10,40.3
passgpt,ashleymadison,49.82,r19,49.82
passgpt,ashleymadison,77.96,r4,77.96
passgpt,ashleymadison,71.84,r14,71.84
passgpt,ashleymadison,13.32,r3,13.32
passgpt,ashleymadison,24.57,r12,24.57
passgpt,ashleymadison,0.95,r9,0.95
passgpt,ashleymadison,0.0,r8,0.0
passgpt,ashleymadison,0.0,r13,0.0
passgpt,ashleymadison,0.0,r17,0.0
passgpt,ashleymadison,1.32,r7,1.32
passgpt,ashleymadison,1.37,r11,1.37
passgpt,ashleymadison,3.33,r18,3.33
passgpt,ashleymadison,0.0,r16,0.0
passgpt,ashleymadison,0.0,r15,0.0
passgpt,ashleymadison,0.0,r5,0.0
passgpt,libero,48.88,r1,48.88
passgpt,libero,50.59,r2,50.59
passgpt,libero,35.89,r6,35.89
passgpt,libero,44.23,r10,44.23
passgpt,libero,68.29,r4,68.29
passgpt,libero,55.3,r14,55.3
passgpt,libero,47.05,r19,47.05
passgpt,libero,34.89,r3,34.89
passgpt,libero,11.76,r12,11.76
passgpt,libero,8.1,r9,8.1
passgpt,libero,12.14,r11,12.14
passgpt,libero,17.75,r18,17.75
passgpt,libero,7.89,r8,7.89
passgpt,libero,10.0,r13,10.0
passgpt,libero,14.37,r7,14.37
passgpt,libero,1.85,r16,1.85
passgpt,libero,33.33,r5,33.33
passgpt,libero,1.32,r17,1.32
passgpt,libero,23.53,r15,23.53
passgpt,mailru,32.73,r6,32.73
passgpt,mailru,34.99,r10,34.99
passgpt,mailru,35.11,r1,35.11
passgpt,mailru,40.32,r2,40.32
passgpt,mailru,81.05,r4,81.05
passgpt,mailru,69.87,r14,69.87
passgpt,mailru,46.04,r19,46.04
passgpt,mailru,31.73,r8,31.73
passgpt,mailru,23.6,r13,23.6
passgpt,mailru,11.75,r7,11.75
passgpt,mailru,11.78,r9,11.78
passgpt,mailru,4.79,r12,4.79
passgpt,mailru,6.91,r11,6.91
passgpt,mailru,13.66,r18,13.66
passgpt,mailru,17.45,r3,17.45
passgpt,mailru,14.13,r16,14.13
passgpt,mailru,28.24,r17,28.24
passgpt,mailru,15.32,r15,15.32
passgpt,mailru,75.0,r5,75.0
passgpt,gmail,44.97,r1,44.97
passgpt,gmail,44.97,r2,44.97
passgpt,gmail,55.35,r4,55.35
passgpt,gmail,51.25,r14,51.25
passgpt,gmail,34.81,r6,34.81
passgpt,gmail,41.1,r10,41.1
passgpt,gmail,46.2,r19,46.2
passgpt,gmail,24.12,r7,24.12
passgpt,gmail,25.03,r11,25.03
passgpt,gmail,11.22,r9,11.22
passgpt,gmail,24.18,r16,24.18
passgpt,gmail,15.9,r8,15.9
passgpt,gmail,18.25,r13,18.25
passgpt,gmail,29.98,r12,29.98
passgpt,gmail,47.26,r15,47.26
passgpt,gmail,47.83,r5,47.83
passgpt,gmail,11.09,r17,11.09
passgpt,taobao,20.53,r6,20.53
passgpt,taobao,21.28,r10,21.28
passgpt,taobao,51.68,r4,51.68
passgpt,taobao,50.43,r14,50.43
passgpt,taobao,31.6,r19,31.6
passgpt,taobao,39.34,r1,39.34
passgpt,taobao,39.94,r2,39.94
passgpt,taobao,11.45,r9,11.45
passgpt,taobao,15.15,r3,15.15
passgpt,taobao,11.48,r12,11.48
passgpt,taobao,7.18,r7,7.18
passgpt,taobao,49.38,r8,49.38
passgpt,taobao,50.0,r13,50.0
passgpt,taobao,29.67,r11,29.67
passgpt,taobao,42.59,r16,42.59
passgpt,taobao,31.91,r18,31.91
passgpt,taobao,36.84,r17,36.84
passgpt,taobao,63.16,r5,63.16
passgpt,taobao,0.0,r15,0.0
passgpt,000webhost,20.75,r6,20.75
passgpt,000webhost,24.55,r10,24.55
passgpt,000webhost,12.28,r9,12.28
passgpt,000webhost,23.11,r8,23.11
passgpt,000webhost,8.72,r14,8.72
passgpt,000webhost,13.78,r11,13.78
passgpt,000webhost,24.06,r19,24.06
passgpt,000webhost,17.29,r13,17.29
passgpt,000webhost,13.8,r12,13.8
passgpt,000webhost,11.6,r1,11.6
passgpt,000webhost,12.21,r2,12.21
passgpt,000webhost,12.21,r7,12.21
passgpt,000webhost,14.4,r18,14.4
passgpt,000webhost,29.73,r4,29.73
passgpt,000webhost,8.71,r17,8.71
passgpt,000webhost,5.56,r15,5.56
passgpt,000webhost,51.67,r5,51.67
passgpt,000webhost,9.16,r16,9.16
passgpt,000webhost,12.31,r3,12.31
passgpt,rockyou,51.54,r1,51.54
passgpt,rockyou,52.27,r2,52.27
passgpt,rockyou,48.26,r6,48.26
passgpt,rockyou,51.98,r10,51.98
passgpt,rockyou,54.05,r19,54.05
passgpt,rockyou,52.45,r4,52.45
passgpt,rockyou,50.89,r14,50.89
passgpt,rockyou,16.76,r9,16.76
passgpt,rockyou,47.76,r3,47.76
passgpt,rockyou,35.1,r7,35.1
passgpt,rockyou,27.29,r16,27.29
passgpt,rockyou,37.63,r11,37.63
passgpt,rockyou,46.33,r18,46.33
passgpt,rockyou,49.37,r12,49.37
passgpt,rockyou,10.31,r13,10.31
passgpt,rockyou,29.46,r15,29.46
passgpt,rockyou,28.41,r8,28.41
passgpt,rockyou,4.71,r17,4.71
passgpt,rockyou,31.44,r5,31.44
passgpt,linkedin,31.68,r1,31.68
passgpt,linkedin,32.77,r2,32.77
passgpt,linkedin,28.43,r6,28.43
passgpt,linkedin,31.98,r10,31.98
passgpt,linkedin,32.24,r14,32.24
passgpt,linkedin,33.27,r19,33.27
passgpt,linkedin,10.19,r9,10.19
passgpt,linkedin,13.55,r11,13.55
passgpt,linkedin,36.15,r4,36.15
passgpt,linkedin,6.34,r13,6.34
passgpt,linkedin,26.18,r12,26.18
passgpt,linkedin,12.47,r7,12.47
passgpt,linkedin,12.63,r15,12.63
passgpt,linkedin,25.72,r3,25.72
passgpt,linkedin,6.42,r16,6.42
passgpt,linkedin,16.69,r18,16.69
passgpt,linkedin,12.26,r8,12.26
passgpt,linkedin,4.56,r17,4.56
passgpt,linkedin,10.09,r5,10.09
vgpt2,ashleymadison,0.18,r6,0.18
vgpt2,ashleymadison,0.21,r10,0.21
vgpt2,ashleymadison,0.2,r1,0.2
vgpt2,ashleymadison,0.21,r2,0.21
vgpt2,ashleymadison,0.29,r4,0.29
vgpt2,ashleymadison,0.23,r14,0.23
vgpt2,ashleymadison,0.0,r12,0.0
vgpt2,ashleymadison,0.0,r9,0.0
vgpt2,ashleymadison,0.14,r19,0.14
vgpt2,ashleymadison,0.0,r3,0.0
vgpt2,ashleymadison,0.0,r11,0.0
vgpt2,ashleymadison,0.0,r7,0.0
vgpt2,ashleymadison,0.0,r17,0.0
vgpt2,ashleymadison,0.0,r8,0.0
vgpt2,ashleymadison,0.0,r13,0.0
vgpt2,ashleymadison,0.0,r18,0.0
vgpt2,ashleymadison,0.0,r16,0.0
vgpt2,ashleymadison,0.0,r5,0.0
vgpt2,ashleymadison,0.0,r15,0.0
vgpt2,libero,0.11,r1,0.11
vgpt2,libero,0.0,r7,0.0
vgpt2,libero,0.03,r6,0.03
