model,dataset,test-size,key,percentage
passflow,rockyou,194247,11,0.0
passflow,rockyou,121713,12,0.0
passflow,rockyou,463803,10,0.0
passflow,rockyou,529298,9,0.0
passflow,rockyou,651286,7,18.86
passflow,rockyou,594288,6,69.06
passflow,rockyou,83059,5,82.87
passflow,rockyou,6130,4,88.53
passflow,rockyou,774,3,81.4
passflow,rockyou,108,2,55.56
passflow,rockyou,21,1,80.95
passflow,linkedin,2982323,8,1.13
passflow,linkedin,1755937,9,0.0
passflow,linkedin,1336390,7,4.06
passflow,linkedin,507388,12,0.0
passflow,linkedin,1521295,10,0.0
passflow,linkedin,1085113,6,24.94
passflow,linkedin,794698,11,0.0
passflow,linkedin,516,5,18.22
passflow,linkedin,44,4,22.73
passflow,linkedin,10,1,0.0
passflow,linkedin,1,3,0.0
passgpt,ashleymadison,14721,6,72.34
passgpt,ashleymadison,18668,8,35.45
passgpt,ashleymadison,7228,10,10.22
passgpt,ashleymadison,13723,7,51.69
passgpt,ashleymadison,9888,9,21.08
passgpt,ashleymadison,5385,5,74.78
passgpt,ashleymadison,1926,4,95.9
passgpt,ashleymadison,966,12,1.45
passgpt,ashleymadison,1633,11,3.61
passgpt,ashleymadison,155,3,99.35
passgpt,ashleymadison,21,2,100.0
passgpt,ashleymadison,6,1,100.0
passgpt,libero,9459,7,60.94
passgpt,libero,12247,10,29.08
passgpt,libero,17438,9,34.94
passgpt,libero,12737,6,82.91
passgpt,libero,31477,8,43.37
passgpt,libero,6487,11,20.97
passgpt,libero,4697,12,14.61
passgpt,libero,44,5,75.0
passgpt,libero,27,4,96.3
passgpt,libero,2,3,100.0
passgpt,libero,1,2,100.0
passgpt,mailru,74501,9,38.88
passgpt,mailru,79124,6,72.62
passgpt,mailru,135007,8,31.67
passgpt,mailru,85038,7,59.57
passgpt,mailru,36530,11,9.67
passgpt,mailru,29474,12,8.84
passgpt,mailru,4663,5,78.83
passgpt,mailru,50972,10,17.04
passgpt,mailru,3013,4,90.11
passgpt,mailru,111,3,92.79
passgpt,mailru,2,2,100.0
passgpt,mailru,1,1,100.0
passgpt,gmail,16700,5,85.41
passgpt,gmail,106116,6,75.0
passgpt,gmail,121286,10,16.56
passgpt,gmail,217137,8,39.81
passgpt,gmail,93461,7,51.0
passgpt,gmail,109135,9,29.84
passgpt,gmail,17203,12,7.77
passgpt,gmail,27565,11,14.46
passgpt,gmail,5044,4,93.64
passgpt,gmail,2080,3,91.73
passgpt,gmail,197,2,100.0
passgpt,gmail,27,1,100.0
passgpt,taobao,109352,6,66.64
passgpt,taobao,230425,9,20.15
passgpt,taobao,100824,12,11.55
passgpt,taobao,210559,8,34.63
passgpt,taobao,233478,10,16.63
passgpt,taobao,169805,7,65.67
passgpt,taobao,159572,11,11.45
passgpt,taobao,1699,5,64.27
passgpt,taobao,249,3,88.76
passgpt,taobao,1246,4,84.59
passgpt,taobao,55,2,96.36
passgpt,taobao,28,1,100.0
passgpt,000webhost,537956,8,21.99
passgpt,000webhost,379528,9,22.39
passgpt,000webhost,281474,11,9.99
passgpt,000webhost,375335,10,14.59
passgpt,000webhost,179285,7,34.36
passgpt,000webhost,206791,12,7.06
passgpt,000webhost,109152,6,51.73
passgpt,000webhost,154,4,32.47
passgpt,000webhost,126,3,41.27
passgpt,000webhost,445,5,16.18
passgpt,000webhost,109,2,86.24
passgpt,000webhost,55,1,100.0
passgpt,rockyou,594288,6,74.97
passgpt,rockyou,529298,9,36.74
passgpt,rockyou,651286,7,62.68
passgpt,rockyou,463803,10,27.27
passgpt,rockyou,761164,8,46.68
passgpt,rockyou,121713,12,14.03
passgpt,rockyou,194247,11,20.65
passgpt,rockyou,83059,5,84.8
passgpt,rockyou,6130,4,90.0
passgpt,rockyou,774,3,90.96
passgpt,rockyou,108,2,97.22
passgpt,rockyou,21,1,100.0
passgpt,linkedin,1336390,7,38.76
passgpt,linkedin,794698,11,14.42
passgpt,linkedin,1755937,9,24.74
passgpt,linkedin,1085113,6,55.75
passgpt,linkedin,1521295,10,17.59
passgpt,linkedin,2982323,8,28.78
passgpt,linkedin,507388,12,10.92
passgpt,linkedin,516,5,5.81
