model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage,#uniques
VGPT2,linkedin,all-12-40000000-80,NULL,NULL,500000000,655173,6.56%,486208494
VGPT2,mailru,all-12-850000-80,NULL,NULL,500000000,31150,6.25%,440380565
VGPT2,mailru,all-12-1785681-80,NULL,NULL,500000000,84253,16.90%,474879593
VGPT2,taobao,all-12-850000-80,NULL,NULL,500000000,51710,4.24%,438201863
VGPT2,taobao,all-12-1785681-80,NULL,NULL,500000000,137422,11.28%,475206443
VGPT2,taobao,all-12-2700000-80,NULL,NULL,500000000,138457,11.37%,479821845
VGPT2,taobao,all-12-4710736-80,NULL,NULL,500000000,152956,12.56%,478306086
FLA,rockyou,all-12-850000-80,NULL,NULL,500000000,1911559,56.13%,500000000
FLA,rockyou,all-12-1785681-80,NULL,NULL,500000000,1953690,57.36%,500000000
FLA,rockyou,all-12-2700000-80,NULL,NULL,500000000,2058895,60.45%,500000000
FLA,rockyou,all-12-4710736-80,NULL,NULL,500000000,2046396,60.08%,500000000
FLA,rockyou,all-12-11802325-80,NULL,NULL,500000000,2059695,60.47%,500000000
FLA,linkedin,all-12-850000-80,NULL,NULL,500000000,1845289,18.48%,500000000
FLA,linkedin,all-12-1785681-80,NULL,NULL,500000000,2456549,24.61%,500000000
FLA,linkedin,all-12-2700000-80,NULL,NULL,500000000,2925465,29.30%,500000000
FLA,linkedin,all-12-4710736-80,NULL,NULL,500000000,3782817,37.89%,500000000
FLA,linkedin,all-12-11802325-80,NULL,NULL,500000000,4097825,41.05%,500000000
FLA,linkedin,all-12-20000000-80,NULL,NULL,500000000,3504305,35.10%,500000000
FLA,linkedin,all-12-40000000-80,NULL,NULL,500000000,3631686,36.37%,500000000
FLA,mailru,all-12-850000-80,NULL,NULL,500000000,264853,53.14%,500000000
FLA,mailru,all-12-1785681-80,NULL,NULL,500000000,273891,54.95%,500000000
FLA,taobao,all-12-850000-80,NULL,NULL,500000000,522723,42.94%,500000000
FLA,taobao,all-12-1785681-80,NULL,NULL,500000000,537060,44.12%,500000000
FLA,taobao,all-12-2700000-80,NULL,NULL,500000000,545183,44.79%,500000000
FLA,taobao,all-12-4710736-80,NULL,NULL,500000000,554337,45.53%,500000000
