model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,250000000,119031,12.44%,238807818
vgpt2,taobao,all-10-100-80,dcfd24b28023880b260518fae4c7a90e,956992,500000000,157576,16.47%,468487906
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,1000000,287,0.01%,1001388
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,2500000,693,0.03%,2500284
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,5000000,1273,0.06%,5000229
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,7500000,1839,0.09%,7499994
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,10000000,2397,0.12%,9997492
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,25000000,5448,0.26%,24987803
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,50000000,9938,0.48%,49953505
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,75000000,13911,0.67%,74901340
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,100000000,17563,0.85%,99834035
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,250000000,34415,1.66%,249145970
vgpt2,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,500000000,53706,2.59%,497141642
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,1000000,113598,16.93%,1001471
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,2500000,155393,23.15%,2500604
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,5000000,189510,28.24%,5001204
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,7500000,208073,31.00%,7501802
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,10000000,220627,32.87%,10000346
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,25000000,260178,38.76%,25001872
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,50000000,291658,43.45%,50001583
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,75000000,310587,46.27%,75001254
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,100000000,323911,48.26%,100000881
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,250000000,364581,54.32%,249997970
fla,gmail,all-10-100-80,f966063a95eb4687aa0ef3b501988d0f,671173,500000000,394546,58.78%,499990553
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,1000000,27082,32.50%,1001472
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,2500000,31281,37.54%,2500608
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,5000000,34410,41.29%,5001216
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,7500000,36237,43.49%,7501824
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,10000000,37475,44.97%,10000384
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,25000000,41497,49.80%,25001983
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,50000000,44354,53.23%,50001918
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,75000000,45992,55.19%,75001850
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,100000000,47124,56.55%,100001781
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,250000000,50756,60.91%,250001371
fla,libero,all-10-100-80,8390bad5f6d2ef4eaff1a3231139087b,83328,500000000,53342,64.01%,499999915
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,1000000,352,0.02%,1001410
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,2500000,920,0.06%,2500280
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,5000000,1742,0.11%,5000030
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,7500000,2534,0.16%,7499382
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,10000000,3340,0.21%,9996175
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,25000000,7417,0.47%,24978790
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,50000000,13213,0.84%,49917714
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,75000000,17987,1.14%,74825073
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,100000000,22222,1.40%,99704832
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,250000000,41359,2.61%,248502106
vgpt2,000webhost,all-10-100-80,e6f87c053dec2f78f6c0ca81309943e9,1581707,500000000,62326,3.94%,495107206
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,1000000,33597,6.74%,910617
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,2500000,42055,8.44%,2288084
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,5000000,50602,10.15%,4514329
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,7500000,56947,11.43%,6755745
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,10000000,62013,12.44%,8906180
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,25000000,74918,15.03%,21413349
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,50000000,85634,17.18%,42321861
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,75000000,91484,18.35%,63308897
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,100000000,95258,19.11%,84591374
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,250000000,107367,21.54%,215070258
passflow,mailru,all-12-100-80,99e971b691c2c324cb343c058b380c96,498434,500000000,116484,23.37%,429258848
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,1000000,21,0.00%,1001472
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,2500000,591,0.03%,2497060
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,5000000,8194,0.40%,4861006
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,7500000,11292,0.55%,7191699
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,10000000,13717,0.66%,9456820
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,25000000,22332,1.08%,23518992
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,50000000,29653,1.43%,47050072
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,75000000,33874,1.64%,71000355
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,100000000,36772,1.78%,95151494
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,250000000,47498,2.29%,240553796
passflow,000webhost,all-12-100-80,432a04011c519801862411bc38aebb0e,2070404,500000000,56649,2.74%,481089839
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,1000000,3,0.00%,991260
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,2500000,5,0.01%,2450957
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,5000000,13,0.02%,4841684
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,7500000,16,0.02%,7191160
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,10000000,16,0.02%,9507741
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,25000000,27,0.04%,22928141
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,50000000,39,0.05%,44131872
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,75000000,44,0.06%,64398855
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,100000000,51,0.07%,83996929
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,250000000,95,0.13%,192893060
vgpt2,ashleymadison,all-12-100-80,b1050e4d8c2416c0c16a6d9578861192,74319,500000000,149,0.20%,356058950
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,1000000,20496,2.86%,989328
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,2500000,42806,5.98%,2436421
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,5000000,68532,9.57%,4787788
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,7500000,86486,12.08%,7084060
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,10000000,100068,13.98%,9335959
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,25000000,144953,20.25%,22314169
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,50000000,179425,25.06%,42784965
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,75000000,199419,27.85%,62441349
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,100000000,213543,29.83%,81552437
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,250000000,258680,36.13%,189736315
passgpt,gmail,all-12-100-80,ab1ab8c94f967be004af88422704689b,715941,500000000,292808,40.90%,356797294
