model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
plrgan,mailru,all-12-100-80,500000000,5,4663,NONE,49.6
plrgan,mailru,all-12-100-80,500000000,4,3013,NONE,76.0
plrgan,mailru,all-12-100-80,500000000,3,111,NONE,61.26
plrgan,mailru,all-12-100-80,500000000,2,2,NONE,100.0
plrgan,mailru,all-12-100-80,500000000,1,1,NONE,100.0
plrgan,taobao,all-12-100-80,500000000,12,100824,NONE,1.2
plrgan,taobao,all-12-100-80,500000000,7,169805,NONE,47.64
plrgan,taobao,all-12-100-80,500000000,10,233478,NONE,3.94
plrgan,taobao,all-12-100-80,500000000,8,210559,NONE,18.05
plrgan,taobao,all-12-100-80,500000000,9,230425,NONE,6.06
plrgan,taobao,all-12-100-80,500000000,11,159572,NONE,1.95
plrgan,taobao,all-12-100-80,500000000,6,109352,NONE,51.7
plrgan,taobao,all-12-100-80,500000000,5,1699,NONE,40.14
plrgan,taobao,all-12-100-80,500000000,3,249,NONE,70.28
plrgan,taobao,all-12-100-80,500000000,4,1246,NONE,73.76
plrgan,taobao,all-12-100-80,500000000,2,55,NONE,80.0
plrgan,taobao,all-12-100-80,500000000,1,28,NONE,53.57
plrgan,000webhost,all-12-100-80,500000000,10,375335,NONE,1.11
plrgan,000webhost,all-12-100-80,500000000,11,281474,NONE,0.34
plrgan,000webhost,all-12-100-80,500000000,8,537956,NONE,6.2
plrgan,000webhost,all-12-100-80,500000000,9,379528,NONE,3.49
plrgan,000webhost,all-12-100-80,500000000,12,206791,NONE,0.1
plrgan,000webhost,all-12-100-80,500000000,6,109152,NONE,29.66
plrgan,000webhost,all-12-100-80,500000000,7,179285,NONE,13.24
plrgan,000webhost,all-12-100-80,500000000,3,126,NONE,18.25
plrgan,000webhost,all-12-100-80,500000000,1,55,NONE,65.45
plrgan,000webhost,all-12-100-80,500000000,4,154,NONE,20.13
plrgan,000webhost,all-12-100-80,500000000,5,445,NONE,8.54
plrgan,000webhost,all-12-100-80,500000000,2,109,NONE,55.96
plrgan,rockyou,all-12-100-80,500000000,8,761164,NONE,10.81
plrgan,rockyou,all-12-100-80,500000000,7,651286,NONE,27.47
plrgan,rockyou,all-12-100-80,500000000,10,463803,NONE,1.16
plrgan,rockyou,all-12-100-80,500000000,6,594288,NONE,56.3
plrgan,rockyou,all-12-100-80,500000000,9,529298,NONE,1.99
plrgan,rockyou,all-12-100-80,500000000,11,194247,NONE,0.02
plrgan,rockyou,all-12-100-80,500000000,12,121713,NONE,0.0
plrgan,rockyou,all-12-100-80,500000000,5,83059,NONE,63.56
plrgan,rockyou,all-12-100-80,500000000,4,6130,NONE,70.98
plrgan,rockyou,all-12-100-80,500000000,3,774,NONE,56.33
plrgan,rockyou,all-12-100-80,500000000,1,21,NONE,76.19
plrgan,rockyou,all-12-100-80,500000000,2,108,NONE,73.15
plrgan,linkedin,all-12-100-80,500000000,10,1521295,NONE,0.25
plrgan,linkedin,all-12-100-80,500000000,9,1755937,NONE,1.27
plrgan,linkedin,all-12-100-80,500000000,7,1336390,NONE,16.01
plrgan,linkedin,all-12-100-80,500000000,6,1085113,NONE,37.1
plrgan,linkedin,all-12-100-80,500000000,8,2982323,NONE,6.7
plrgan,linkedin,all-12-100-80,500000000,11,794698,NONE,0.02
plrgan,linkedin,all-12-100-80,500000000,12,507388,NONE,0.0
plrgan,linkedin,all-12-100-80,500000000,5,516,NONE,4.26
plrgan,linkedin,all-12-100-80,500000000,4,44,NONE,22.73
plrgan,linkedin,all-12-100-80,500000000,1,10,NONE,0.0
plrgan,linkedin,all-12-100-80,500000000,3,1,NONE,0.0
passflow,ashleymadison,all-12-100-80,500000000,11,1633,NONE,0.0
passflow,ashleymadison,all-12-100-80,500000000,8,18668,NONE,0.09
passflow,ashleymadison,all-12-100-80,500000000,6,14721,NONE,28.64
passflow,ashleymadison,all-12-100-80,500000000,4,1926,NONE,96.42
passflow,ashleymadison,all-12-100-80,500000000,7,13723,NONE,1.6
passflow,ashleymadison,all-12-100-80,500000000,9,9888,NONE,0.0
passflow,ashleymadison,all-12-100-80,500000000,10,7228,NONE,0.0
passflow,ashleymadison,all-12-100-80,500000000,5,5385,NONE,74.43
passflow,ashleymadison,all-12-100-80,500000000,3,155,NONE,94.19
passflow,ashleymadison,all-12-100-80,500000000,12,966,NONE,0.0
passflow,ashleymadison,all-12-100-80,500000000,2,21,NONE,85.71
passflow,ashleymadison,all-12-100-80,500000000,1,6,NONE,66.67
passflow,libero,all-12-100-80,500000000,8,31477,NONE,11.2
passflow,libero,all-12-100-80,500000000,7,9459,NONE,8.46
passflow,libero,all-12-100-80,500000000,12,4697,NONE,0.0
passflow,libero,all-12-100-80,500000000,6,12737,NONE,54.9
passflow,libero,all-12-100-80,500000000,9,17438,NONE,0.03
passflow,libero,all-12-100-80,500000000,10,12247,NONE,0.0
passflow,libero,all-12-100-80,500000000,11,6487,NONE,0.0
passflow,libero,all-12-100-80,500000000,4,27,NONE,14.81
passflow,libero,all-12-100-80,500000000,5,44,NONE,22.73
passflow,libero,all-12-100-80,500000000,3,2,NONE,0.0
passflow,libero,all-12-100-80,500000000,2,1,NONE,0.0
passflow,mailru,all-12-100-80,500000000,7,85038,NONE,35.27
passflow,mailru,all-12-100-80,500000000,10,50972,NONE,0.05
passflow,mailru,all-12-100-80,500000000,9,74501,NONE,15.77
passflow,mailru,all-12-100-80,500000000,6,79124,NONE,61.4
passflow,mailru,all-12-100-80,500000000,12,29474,NONE,0.0
passflow,mailru,all-12-100-80,500000000,8,135007,NONE,14.73
passflow,mailru,all-12-100-80,500000000,11,36530,NONE,0.0
passflow,mailru,all-12-100-80,500000000,5,4663,NONE,61.16
passflow,mailru,all-12-100-80,500000000,4,3013,NONE,89.51
passflow,mailru,all-12-100-80,500000000,3,111,NONE,71.17
passflow,mailru,all-12-100-80,500000000,2,2,NONE,0.0
passflow,mailru,all-12-100-80,500000000,1,1,NONE,100.0
passflow,gmail,all-12-100-80,500000000,8,217137,NONE,0.42
passflow,gmail,all-12-100-80,500000000,9,109135,NONE,0.0
passflow,gmail,all-12-100-80,500000000,6,106116,NONE,61.87
passflow,gmail,all-12-100-80,500000000,10,121286,NONE,0.0
passflow,gmail,all-12-100-80,500000000,7,93461,NONE,2.14
passflow,gmail,all-12-100-80,500000000,11,27565,NONE,0.0
passflow,gmail,all-12-100-80,500000000,12,17203,NONE,0.0
passflow,gmail,all-12-100-80,500000000,4,5044,NONE,95.46
passflow,gmail,all-12-100-80,500000000,3,2080,NONE,95.96
passflow,gmail,all-12-100-80,500000000,5,16700,NONE,82.93
passflow,gmail,all-12-100-80,500000000,2,197,NONE,96.95
passflow,gmail,all-12-100-80,500000000,1,27,NONE,88.89
passflow,taobao,all-12-100-80,500000000,9,230425,NONE,0.98
passflow,taobao,all-12-100-80,500000000,8,210559,NONE,23.95
passflow,taobao,all-12-100-80,500000000,7,169805,NONE,58.89
passflow,taobao,all-12-100-80,500000000,10,233478,NONE,0.02
passflow,taobao,all-12-100-80,500000000,11,159572,NONE,0.0
passflow,taobao,all-12-100-80,500000000,12,100824,NONE,0.0
passflow,taobao,all-12-100-80,500000000,6,109352,NONE,64.09
passflow,taobao,all-12-100-80,500000000,5,1699,NONE,61.51
passflow,taobao,all-12-100-80,500000000,3,249,NONE,77.91
passflow,taobao,all-12-100-80,500000000,4,1246,NONE,80.98
passflow,taobao,all-12-100-80,500000000,2,55,NONE,81.82
passflow,taobao,all-12-100-80,500000000,1,28,NONE,96.43
passflow,000webhost,all-12-100-80,500000000,12,206791,NONE,0.0
passflow,000webhost,all-12-100-80,500000000,10,375335,NONE,0.0
passflow,000webhost,all-12-100-80,500000000,6,109152,NONE,38.75
passflow,000webhost,all-12-100-80,500000000,8,537956,NONE,0.53
passflow,000webhost,all-12-100-80,500000000,9,379528,NONE,0.02
passflow,000webhost,all-12-100-80,500000000,7,179285,NONE,5.78
passflow,000webhost,all-12-100-80,500000000,11,281474,NONE,0.0
passflow,000webhost,all-12-100-80,500000000,4,154,NONE,12.34
