model,train-dataset,test-settings,n_samples,pattern,test-size,matches,match_percentage
vgpt2,linkedin,all-12-100-80,500000000,r11,220099,932,0.42
vgpt2,linkedin,all-12-100-80,500000000,r18,92021,377,0.41
vgpt2,linkedin,all-12-100-80,500000000,r9,564935,1281,0.23
vgpt2,linkedin,all-12-100-80,500000000,r4,878607,174788,19.89
vgpt2,linkedin,all-12-100-80,500000000,r14,1065789,176041,16.52
vgpt2,linkedin,all-12-100-80,500000000,r16,20115,7,0.03
vgpt2,linkedin,all-12-100-80,500000000,r3,89784,848,0.94
vgpt2,linkedin,all-12-100-80,500000000,r8,19149,103,0.54
vgpt2,linkedin,all-12-100-80,500000000,r13,28362,74,0.26
vgpt2,linkedin,all-12-100-80,500000000,r17,27822,13,0.05
vgpt2,linkedin,all-12-100-80,500000000,r12,78350,1220,1.56
vgpt2,linkedin,all-12-100-80,500000000,r15,6249,15,0.24
vgpt2,linkedin,all-12-100-80,500000000,r5,664,4,0.6
passgan,libero,all-12-100-80,500000000,r1,30736,2719,8.85
passgan,libero,all-12-100-80,500000000,r2,27510,2702,9.82
passgan,libero,all-12-100-80,500000000,r3,1889,0,0.0
passgan,libero,all-12-100-80,500000000,r4,13767,5530,40.17
passgan,libero,all-12-100-80,500000000,r5,3,0,0.0
passgan,libero,all-12-100-80,500000000,r6,47539,1821,3.83
passgan,libero,all-12-100-80,500000000,r7,654,1,0.15
passgan,libero,all-12-100-80,500000000,r8,114,0,0.0
passgan,libero,all-12-100-80,500000000,r9,1803,0,0.0
passgan,libero,all-12-100-80,500000000,r10,37530,1818,4.84
passgan,libero,all-12-100-80,500000000,r11,865,1,0.12
passgan,libero,all-12-100-80,500000000,r12,272,0,0.0
passgan,libero,all-12-100-80,500000000,r13,100,0,0.0
passgan,libero,all-12-100-80,500000000,r14,17276,5530,32.01
passgan,libero,all-12-100-80,500000000,r15,17,0,0.0
passgan,libero,all-12-100-80,500000000,r16,108,0,0.0
passgan,libero,all-12-100-80,500000000,r17,76,0,0.0
passgan,libero,all-12-100-80,500000000,r18,276,1,0.36
passgan,libero,all-12-100-80,500000000,r19,7552,893,11.82
