model,train-dataset,test-settings,n_samples,length,matches,match_percentage
plrgan,mailru,all-12-100-80,500000000,8,128425691,25.69
plrgan,mailru,all-12-100-80,500000000,9,82770533,16.56
plrgan,mailru,all-12-100-80,500000000,10,60130587,12.03
plrgan,mailru,all-12-100-80,500000000,11,43307788,8.66
plrgan,mailru,all-12-100-80,500000000,12,38392445,7.68
plrgan,ashleymadison,all-12-100-80,500000000,1,8331,0.0
plrgan,ashleymadison,all-12-100-80,500000000,2,86519,0.02
plrgan,ashleymadison,all-12-100-80,500000000,3,803823,0.16
plrgan,ashleymadison,all-12-100-80,500000000,4,9833353,1.97
plrgan,ashleymadison,all-12-100-80,500000000,5,31787355,6.36
plrgan,ashleymadison,all-12-100-80,500000000,6,89664385,17.94
plrgan,ashleymadison,all-12-100-80,500000000,7,87545182,17.52
plrgan,ashleymadison,all-12-100-80,500000000,8,123313368,24.67
plrgan,ashleymadison,all-12-100-80,500000000,9,72391868,14.49
plrgan,ashleymadison,all-12-100-80,500000000,10,59049803,11.82
plrgan,ashleymadison,all-12-100-80,500000000,11,16175505,3.24
plrgan,ashleymadison,all-12-100-80,500000000,12,9107810,1.82
plrgan,gmail,all-12-100-80,500000000,1,21725,0.0
plrgan,gmail,all-12-100-80,500000000,2,105831,0.02
plrgan,gmail,all-12-100-80,500000000,3,944067,0.19
plrgan,gmail,all-12-100-80,500000000,4,2689380,0.54
plrgan,gmail,all-12-100-80,500000000,5,8345214,1.67
plrgan,gmail,all-12-100-80,500000000,6,60410082,12.08
plrgan,gmail,all-12-100-80,500000000,7,59526534,11.91
plrgan,gmail,all-12-100-80,500000000,8,144456113,28.89
plrgan,gmail,all-12-100-80,500000000,9,78883167,15.78
plrgan,gmail,all-12-100-80,500000000,10,99710814,19.94
plrgan,gmail,all-12-100-80,500000000,11,26796207,5.36
plrgan,gmail,all-12-100-80,500000000,12,18094415,3.62
plrgan,taobao,all-12-100-80,500000000,1,796,0.0
plrgan,taobao,all-12-100-80,500000000,2,10392,0.0
plrgan,taobao,all-12-100-80,500000000,3,73308,0.01
plrgan,taobao,all-12-100-80,500000000,4,517966,0.1
plrgan,taobao,all-12-100-80,500000000,5,947727,0.19
plrgan,taobao,all-12-100-80,500000000,6,42218198,8.44
plrgan,taobao,all-12-100-80,500000000,7,68689488,13.74
plrgan,taobao,all-12-100-80,500000000,8,81615080,16.32
plrgan,taobao,all-12-100-80,500000000,9,96232247,19.25
plrgan,taobao,all-12-100-80,500000000,10,98135777,19.63
plrgan,taobao,all-12-100-80,500000000,11,67703876,13.54
plrgan,taobao,all-12-100-80,500000000,12,43840868,8.77
plrgan,linkedin,all-12-100-80,500000000,1,0,0.0
plrgan,linkedin,all-12-100-80,500000000,2,3,0.0
plrgan,linkedin,all-12-100-80,500000000,3,137,0.0
plrgan,linkedin,all-12-100-80,500000000,4,13041,0.0
plrgan,linkedin,all-12-100-80,500000000,5,157694,0.03
plrgan,linkedin,all-12-100-80,500000000,6,59403199,11.88
plrgan,linkedin,all-12-100-80,500000000,7,68464150,13.69
plrgan,linkedin,all-12-100-80,500000000,8,148552683,29.71
plrgan,linkedin,all-12-100-80,500000000,9,83581065,16.72
plrgan,linkedin,all-12-100-80,500000000,10,75204858,15.04
plrgan,linkedin,all-12-100-80,500000000,11,39909494,7.98
plrgan,linkedin,all-12-100-80,500000000,12,24710982,4.94
passgpt,libero,all-12-100-80,500000000,1,144751,0.03
passgpt,libero,all-12-100-80,500000000,2,189999,0.04
passgpt,libero,all-12-100-80,500000000,3,287967,0.06
passgpt,libero,all-12-100-80,500000000,4,367635,0.07
passgpt,libero,all-12-100-80,500000000,5,762844,0.15
passgpt,libero,all-12-100-80,500000000,6,55530535,11.12
passgpt,libero,all-12-100-80,500000000,7,44250349,8.86
passgpt,libero,all-12-100-80,500000000,8,166096063,33.26
passgpt,libero,all-12-100-80,500000000,9,98039868,19.63
passgpt,libero,all-12-100-80,500000000,10,65892361,13.19
passgpt,libero,all-12-100-80,500000000,11,39781590,7.97
passgpt,libero,all-12-100-80,500000000,12,28049988,5.62
passgpt,000webhost,all-12-100-80,500000000,1,16860,0.0
passgpt,000webhost,all-12-100-80,500000000,2,27378,0.01
passgpt,000webhost,all-12-100-80,500000000,3,32332,0.01
passgpt,000webhost,all-12-100-80,500000000,4,54786,0.01
passgpt,000webhost,all-12-100-80,500000000,5,127475,0.03
passgpt,000webhost,all-12-100-80,500000000,6,20064862,4.01
passgpt,000webhost,all-12-100-80,500000000,7,37459383,7.49
passgpt,000webhost,all-12-100-80,500000000,8,122230567,24.45
passgpt,000webhost,all-12-100-80,500000000,9,90383361,18.08
passgpt,000webhost,all-12-100-80,500000000,10,96315080,19.26
passgpt,000webhost,all-12-100-80,500000000,11,75365323,15.07
passgpt,000webhost,all-12-100-80,500000000,12,57898011,11.58
passgpt,rockyou,all-12-100-80,500000000,1,15976,0.0
passgpt,rockyou,all-12-100-80,500000000,2,28355,0.01
passgpt,rockyou,all-12-100-80,500000000,3,79623,0.02
passgpt,rockyou,all-12-100-80,500000000,4,511827,0.1
passgpt,rockyou,all-12-100-80,500000000,5,7037454,1.41
passgpt,rockyou,all-12-100-80,500000000,6,58558615,11.71
passgpt,rockyou,all-12-100-80,500000000,7,86135296,17.23
passgpt,rockyou,all-12-100-80,500000000,8,106026515,21.21
passgpt,rockyou,all-12-100-80,500000000,9,86640459,17.33
passgpt,rockyou,all-12-100-80,500000000,10,86630049,17.33
passgpt,rockyou,all-12-100-80,500000000,11,40740670,8.15
passgpt,rockyou,all-12-100-80,500000000,12,27566503,5.51
passgpt,mailru,all-12-100-80,500000000,1,28652,0.01
passgpt,mailru,all-12-100-80,500000000,2,57025,0.01
passgpt,mailru,all-12-100-80,500000000,3,193479,0.04
passgpt,mailru,all-12-100-80,500000000,4,1762353,0.35
passgpt,mailru,all-12-100-80,500000000,5,3869573,0.77
passgpt,mailru,all-12-100-80,500000000,6,54509819,10.9
passgpt,mailru,all-12-100-80,500000000,7,84252776,16.85
passgpt,mailru,all-12-100-80,500000000,8,120345415,24.07
passgpt,mailru,all-12-100-80,500000000,9,85209905,17.04
passgpt,mailru,all-12-100-80,500000000,10,60785828,12.16
passgpt,mailru,all-12-100-80,500000000,11,48203025,9.64
passgpt,mailru,all-12-100-80,500000000,12,40694457,8.14
passgpt,ashleymadison,all-12-100-80,500000000,1,199405,0.04
passgpt,ashleymadison,all-12-100-80,500000000,2,446378,0.09
passgpt,ashleymadison,all-12-100-80,500000000,3,1496573,0.3
passgpt,ashleymadison,all-12-100-80,500000000,4,11671292,2.34
passgpt,ashleymadison,all-12-100-80,500000000,5,36645702,7.34
passgpt,ashleymadison,all-12-100-80,500000000,6,96263190,19.27
passgpt,ashleymadison,all-12-100-80,500000000,7,93722051,18.76
passgpt,ashleymadison,all-12-100-80,500000000,8,124203232,24.86
passgpt,ashleymadison,all-12-100-80,500000000,9,68676316,13.75
passgpt,ashleymadison,all-12-100-80,500000000,10,48668915,9.74
passgpt,ashleymadison,all-12-100-80,500000000,11,11482905,2.3
passgpt,ashleymadison,all-12-100-80,500000000,12,6051025,1.21
passgpt,gmail,all-12-100-80,500000000,1,28930,0.01
passgpt,gmail,all-12-100-80,500000000,2,143778,0.03
passgpt,gmail,all-12-100-80,500000000,3,1368540,0.27
passgpt,gmail,all-12-100-80,500000000,4,2255523,0.45
passgpt,gmail,all-12-100-80,500000000,5,8324575,1.67
passgpt,gmail,all-12-100-80,500000000,6,58410363,11.68
passgpt,gmail,all-12-100-80,500000000,7,59075948,11.82
passgpt,gmail,all-12-100-80,500000000,8,139462820,27.9
passgpt,gmail,all-12-100-80,500000000,9,82288579,16.46
passgpt,gmail,all-12-100-80,500000000,10,104294123,20.86
passgpt,gmail,all-12-100-80,500000000,11,26439353,5.29
passgpt,gmail,all-12-100-80,500000000,12,17853567,3.57
passgpt,taobao,all-12-100-80,500000000,1,21239,0.0
passgpt,taobao,all-12-100-80,500000000,2,30947,0.01
passgpt,taobao,all-12-100-80,500000000,3,85293,0.02
passgpt,taobao,all-12-100-80,500000000,4,284739,0.06
passgpt,taobao,all-12-100-80,500000000,5,522210,0.1
passgpt,taobao,all-12-100-80,500000000,6,31819620,6.36
passgpt,taobao,all-12-100-80,500000000,7,60422119,12.08
passgpt,taobao,all-12-100-80,500000000,8,76528864,15.31
passgpt,taobao,all-12-100-80,500000000,9,94181557,18.84
passgpt,taobao,all-12-100-80,500000000,10,102988724,20.6
passgpt,taobao,all-12-100-80,500000000,11,78424189,15.69
passgpt,taobao,all-12-100-80,500000000,12,54670315,10.93
passgpt,linkedin,all-12-100-80,500000000,1,7954,0.0
passgpt,linkedin,all-12-100-80,500000000,2,9120,0.0
passgpt,linkedin,all-12-100-80,500000000,3,9294,0.0
passgpt,linkedin,all-12-100-80,500000000,4,14349,0.0
passgpt,linkedin,all-12-100-80,500000000,5,38275,0.01
passgpt,linkedin,all-12-100-80,500000000,6,48589390,9.72
passgpt,linkedin,all-12-100-80,500000000,7,62280030,12.46
passgpt,linkedin,all-12-100-80,500000000,8,142422991,28.49
passgpt,linkedin,all-12-100-80,500000000,9,89756341,17.95
passgpt,linkedin,all-12-100-80,500000000,10,81675449,16.34
passgpt,linkedin,all-12-100-80,500000000,11,45009397,9.0
passgpt,linkedin,all-12-100-80,500000000,12,30168466,6.03
passflow,libero,all-12-100-80,500000000,1,0,0.0
passflow,libero,all-12-100-80,500000000,2,19,0.0
passflow,libero,all-12-100-80,500000000,3,2239,0.0
passflow,libero,all-12-100-80,500000000,4,131767,0.03
passflow,libero,all-12-100-80,500000000,5,4231549,0.85
passflow,libero,all-12-100-80,500000000,6,70003213,14.08
passflow,libero,all-12-100-80,500000000,7,58360930,11.74
passflow,libero,all-12-100-80,500000000,8,165247744,33.25
passflow,libero,all-12-100-80,500000000,9,90109078,18.13
passflow,libero,all-12-100-80,500000000,10,56962799,11.46
passflow,libero,all-12-100-80,500000000,11,31246725,6.29
passflow,libero,all-12-100-80,500000000,12,20714661,4.17
passflow,000webhost,all-12-100-80,500000000,1,387,0.0
passflow,000webhost,all-12-100-80,500000000,2,6002,0.0
passflow,000webhost,all-12-100-80,500000000,3,24064,0.0
passflow,000webhost,all-12-100-80,500000000,4,188512,0.04
passflow,000webhost,all-12-100-80,500000000,5,4392552,0.88
passflow,000webhost,all-12-100-80,500000000,6,89175094,17.9
passflow,000webhost,all-12-100-80,500000000,7,80380455,16.14
passflow,000webhost,all-12-100-80,500000000,8,108491309,21.78
passflow,000webhost,all-12-100-80,500000000,9,68766698,13.8
passflow,000webhost,all-12-100-80,500000000,10,61345957,12.31
passflow,000webhost,all-12-100-80,500000000,11,53939848,10.83
passflow,000webhost,all-12-100-80,500000000,12,31448232,6.31
passflow,rockyou,all-12-100-80,500000000,1,217,0.0
passflow,rockyou,all-12-100-80,500000000,2,3138,0.0
passflow,rockyou,all-12-100-80,500000000,3,89921,0.02
passflow,rockyou,all-12-100-80,500000000,4,2153041,0.43
passflow,rockyou,all-12-100-80,500000000,5,33015511,6.6
passflow,rockyou,all-12-100-80,500000000,6,217579943,43.53
passflow,rockyou,all-12-100-80,500000000,7,182352660,36.48
passflow,rockyou,all-12-100-80,500000000,8,51022777,10.21
passflow,rockyou,all-12-100-80,500000000,9,8199325,1.64
passflow,rockyou,all-12-100-80,500000000,10,4046987,0.81
passflow,rockyou,all-12-100-80,500000000,11,974387,0.19
passflow,rockyou,all-12-100-80,500000000,12,452454,0.09
passflow,mailru,all-12-100-80,500000000,1,30,0.0
passflow,mailru,all-12-100-80,500000000,2,1109,0.0
passflow,mailru,all-12-100-80,500000000,3,54792,0.01
passflow,mailru,all-12-100-80,500000000,4,1539750,0.31
passflow,mailru,all-12-100-80,500000000,5,8348848,1.67
passflow,mailru,all-12-100-80,500000000,6,88816445,17.8
passflow,mailru,all-12-100-80,500000000,7,105170339,21.08
passflow,mailru,all-12-100-80,500000000,8,113824373,22.81
passflow,mailru,all-12-100-80,500000000,9,96585333,19.36
passflow,mailru,all-12-100-80,500000000,10,43508466,8.72
passflow,mailru,all-12-100-80,500000000,11,26189595,5.25
passflow,mailru,all-12-100-80,500000000,12,14910510,2.99
passflow,ashleymadison,all-12-100-80,500000000,1,2793,0.0
passflow,ashleymadison,all-12-100-80,500000000,2,29300,0.01
passflow,ashleymadison,all-12-100-80,500000000,3,503890,0.1
passflow,ashleymadison,all-12-100-80,500000000,4,7699597,1.54
passflow,ashleymadison,all-12-100-80,500000000,5,48174372,9.65
passflow,ashleymadison,all-12-100-80,500000000,6,127937819,25.63
passflow,ashleymadison,all-12-100-80,500000000,7,97505248,19.53
passflow,ashleymadison,all-12-100-80,500000000,8,117806620,23.6
passflow,ashleymadison,all-12-100-80,500000000,9,52359043,10.49
passflow,ashleymadison,all-12-100-80,500000000,10,35450035,7.1
passflow,ashleymadison,all-12-100-80,500000000,11,7839686,1.57
passflow,ashleymadison,all-12-100-80,500000000,12,3895387,0.78
passflow,gmail,all-12-100-80,500000000,1,248,0.0
passflow,gmail,all-12-100-80,500000000,2,35970,0.01
passflow,gmail,all-12-100-80,500000000,3,716785,0.14
passflow,gmail,all-12-100-80,500000000,4,5180433,1.04
passflow,gmail,all-12-100-80,500000000,5,30331938,6.08
passflow,gmail,all-12-100-80,500000000,6,190346456,38.16
passflow,gmail,all-12-100-80,500000000,7,75398598,15.12
passflow,gmail,all-12-100-80,500000000,8,102374001,20.52
passflow,gmail,all-12-100-80,500000000,9,38961643,7.81
passflow,gmail,all-12-100-80,500000000,10,43330380,8.69
passflow,gmail,all-12-100-80,500000000,11,8388529,1.68
passflow,gmail,all-12-100-80,500000000,12,3760929,0.75
passflow,taobao,all-12-100-80,500000000,1,136,0.0
passflow,taobao,all-12-100-80,500000000,2,2189,0.0
passflow,taobao,all-12-100-80,500000000,3,38250,0.01
passflow,taobao,all-12-100-80,500000000,4,560618,0.11
passflow,taobao,all-12-100-80,500000000,5,5687013,1.14
passflow,taobao,all-12-100-80,500000000,6,64724468,12.95
passflow,taobao,all-12-100-80,500000000,7,112625820,22.54
passflow,taobao,all-12-100-80,500000000,8,174421848,34.9
passflow,taobao,all-12-100-80,500000000,9,62272463,12.46
passflow,taobao,all-12-100-80,500000000,10,44806827,8.97
passflow,taobao,all-12-100-80,500000000,11,24224419,4.85
passflow,taobao,all-12-100-80,500000000,12,10353340,2.07
passflow,linkedin,all-12-100-80,500000000,1,1,0.0
passflow,linkedin,all-12-100-80,500000000,2,72,0.0
passflow,linkedin,all-12-100-80,500000000,3,9348,0.0
passflow,linkedin,all-12-100-80,500000000,4,430147,0.09
passflow,linkedin,all-12-100-80,500000000,5,9576894,1.92
passflow,linkedin,all-12-100-80,500000000,6,90996689,18.2
passflow,linkedin,all-12-100-80,500000000,7,122431218,24.49
passflow,linkedin,all-12-100-80,500000000,8,264423038,52.89
passflow,linkedin,all-12-100-80,500000000,9,6328473,1.27
passflow,linkedin,all-12-100-80,500000000,10,4025175,0.81
passflow,linkedin,all-12-100-80,500000000,11,1123463,0.22
passflow,linkedin,all-12-100-80,500000000,12,596200,0.12
fla,libero,all-12-100-80,500000000,1,0,0.0
fla,libero,all-12-100-80,500000000,2,0,0.0
fla,libero,all-12-100-80,500000000,3,0,0.0
fla,libero,all-12-100-80,500000000,4,313337,0.06
fla,libero,all-12-100-80,500000000,5,868383,0.17
fla,libero,all-12-100-80,500000000,6,30716946,6.14
fla,libero,all-12-100-80,500000000,7,46187680,9.24
fla,libero,all-12-100-80,500000000,8,175257233,35.05
fla,libero,all-12-100-80,500000000,9,109936989,21.99
fla,libero,all-12-100-80,500000000,10,76156950,15.23
fla,libero,all-12-100-80,500000000,11,39284805,7.86
fla,libero,all-12-100-80,500000000,12,21277677,4.26
fla,000webhost,all-12-100-80,500000000,1,6,0.0
fla,000webhost,all-12-100-80,500000000,2,7,0.0
fla,000webhost,all-12-100-80,500000000,3,70,0.0
fla,000webhost,all-12-100-80,500000000,4,310902,0.05
fla,000webhost,all-12-100-80,500000000,5,369808,0.06
fla,000webhost,all-12-100-80,500000000,6,57052790,9.62
fla,000webhost,all-12-100-80,500000000,7,72609949,12.25
fla,000webhost,all-12-100-80,500000000,8,211953341,35.76
fla,000webhost,all-12-100-80,500000000,9,105535978,17.8
fla,000webhost,all-12-100-80,500000000,10,77128888,13.01
fla,000webhost,all-12-100-80,500000000,11,41486832,7.0
fla,000webhost,all-12-100-80,500000000,12,26327395,4.44
fla,rockyou,all-12-100-80,500000000,1,65,0.0
fla,rockyou,all-12-100-80,500000000,2,117,0.0
fla,rockyou,all-12-100-80,500000000,3,196,0.0
fla,rockyou,all-12-100-80,500000000,4,499571,0.1
fla,rockyou,all-12-100-80,500000000,5,7413960,1.48
fla,rockyou,all-12-100-80,500000000,6,63380141,12.68
fla,rockyou,all-12-100-80,500000000,7,94191105,18.84
fla,rockyou,all-12-100-80,500000000,8,137148085,27.43
