model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
passgan,ashleymadison,all-12-100-80,500000000,r3,3908,0.0
passgan,ashleymadison,all-12-100-80,500000000,r4,66538295,13.31
passgan,ashleymadison,all-12-100-80,500000000,r5,2690,0.0
passgan,ashleymadison,all-12-100-80,500000000,r6,229658890,45.94
passgan,ashleymadison,all-12-100-80,500000000,r7,1851603,0.37
passgan,ashleymadison,all-12-100-80,500000000,r8,563260,0.11
passgan,ashleymadison,all-12-100-80,500000000,r9,4882732,0.98
passgan,ashleymadison,all-12-100-80,500000000,r10,166271368,33.26
passgan,ashleymadison,all-12-100-80,500000000,r11,934354,0.19
passgan,ashleymadison,all-12-100-80,500000000,r12,4081569,0.82
passgan,ashleymadison,all-12-100-80,500000000,r13,257748,0.05
passgan,ashleymadison,all-12-100-80,500000000,r14,76328998,15.27
passgan,ashleymadison,all-12-100-80,500000000,r15,517422,0.1
passgan,ashleymadison,all-12-100-80,500000000,r16,8562,0.0
passgan,ashleymadison,all-12-100-80,500000000,r17,1092505,0.22
passgan,ashleymadison,all-12-100-80,500000000,r18,563802,0.11
passgan,ashleymadison,all-12-100-80,500000000,r19,39570094,7.92
passgan,gmail,all-12-100-80,500000000,r1,177862662,35.59
passgan,gmail,all-12-100-80,500000000,r2,177862662,35.59
passgan,gmail,all-12-100-80,500000000,r3,0,0.0
passgan,gmail,all-12-100-80,500000000,r4,79501771,15.91
passgan,gmail,all-12-100-80,500000000,r5,1286,0.0
passgan,gmail,all-12-100-80,500000000,r6,225298671,45.08
passgan,gmail,all-12-100-80,500000000,r7,6901198,1.38
passgan,gmail,all-12-100-80,500000000,r8,624294,0.12
passgan,gmail,all-12-100-80,500000000,r9,9566488,1.91
passgan,gmail,all-12-100-80,500000000,r10,154613382,30.94
passgan,gmail,all-12-100-80,500000000,r11,4528573,0.91
passgan,gmail,all-12-100-80,500000000,r12,3351865,0.67
passgan,gmail,all-12-100-80,500000000,r13,1129048,0.23
passgan,gmail,all-12-100-80,500000000,r14,95838181,19.18
passgan,gmail,all-12-100-80,500000000,r15,2605,0.0
passgan,gmail,all-12-100-80,500000000,r16,126,0.0
passgan,gmail,all-12-100-80,500000000,r17,5270,0.0
passgan,gmail,all-12-100-80,500000000,r18,0,0.0
passgan,gmail,all-12-100-80,500000000,r19,34052128,6.81
passgan,taobao,all-12-100-80,500000000,r1,52238653,10.45
passgan,taobao,all-12-100-80,500000000,r2,50028889,10.01
passgan,taobao,all-12-100-80,500000000,r3,0,0.0
passgan,taobao,all-12-100-80,500000000,r4,173610922,34.72
passgan,taobao,all-12-100-80,500000000,r5,0,0.0
passgan,taobao,all-12-100-80,500000000,r6,264276339,52.86
passgan,taobao,all-12-100-80,500000000,r7,1408121,0.28
passgan,taobao,all-12-100-80,500000000,r8,2451921,0.49
passgan,taobao,all-12-100-80,500000000,r9,5995144,1.2
passgan,taobao,all-12-100-80,500000000,r10,241889775,48.38
passgan,taobao,all-12-100-80,500000000,r11,1242553,0.25
passgan,taobao,all-12-100-80,500000000,r12,286385,0.06
passgan,taobao,all-12-100-80,500000000,r13,505324,0.1
passgan,taobao,all-12-100-80,500000000,r14,178155561,35.63
passgan,taobao,all-12-100-80,500000000,r15,64229,0.01
passgan,taobao,all-12-100-80,500000000,r16,12618,0.0
passgan,taobao,all-12-100-80,500000000,r17,3091765,0.62
passgan,taobao,all-12-100-80,500000000,r18,0,0.0
passgan,taobao,all-12-100-80,500000000,r19,57912028,11.58
passgan,linkedin,all-12-100-80,500000000,r1,103284405,20.66
passgan,linkedin,all-12-100-80,500000000,r2,85772848,17.15
passgan,linkedin,all-12-100-80,500000000,r3,1126648,0.23
passgan,linkedin,all-12-100-80,500000000,r4,49740224,9.95
passgan,linkedin,all-12-100-80,500000000,r5,1,0.0
passgan,linkedin,all-12-100-80,500000000,r6,301923070,60.39
passgan,linkedin,all-12-100-80,500000000,r7,10078224,2.02
passgan,linkedin,all-12-100-80,500000000,r8,1382085,0.28
passgan,linkedin,all-12-100-80,500000000,r9,33583327,6.72
passgan,linkedin,all-12-100-80,500000000,r10,247882585,49.58
passgan,linkedin,all-12-100-80,500000000,r11,11436599,2.29
passgan,linkedin,all-12-100-80,500000000,r12,2726727,0.55
passgan,linkedin,all-12-100-80,500000000,r13,1940589,0.39
passgan,linkedin,all-12-100-80,500000000,r14,67494494,13.5
passgan,linkedin,all-12-100-80,500000000,r15,1004888,0.2
passgan,linkedin,all-12-100-80,500000000,r16,293652,0.06
passgan,linkedin,all-12-100-80,500000000,r17,2629774,0.53
passgan,linkedin,all-12-100-80,500000000,r18,4452532,0.89
passgan,linkedin,all-12-100-80,500000000,r19,40089769,8.02
plrgan,libero,all-12-100-80,500000000,r1,148315202,29.68
plrgan,libero,all-12-100-80,500000000,r2,130609019,26.14
plrgan,libero,all-12-100-80,500000000,r3,5229673,1.05
plrgan,libero,all-12-100-80,500000000,r4,75925632,15.19
plrgan,libero,all-12-100-80,500000000,r5,155,0.0
plrgan,libero,all-12-100-80,500000000,r6,270309188,54.1
plrgan,libero,all-12-100-80,500000000,r7,1892427,0.38
plrgan,libero,all-12-100-80,500000000,r8,119692,0.02
plrgan,libero,all-12-100-80,500000000,r9,3119379,0.62
plrgan,libero,all-12-100-80,500000000,r10,203142440,40.65
plrgan,libero,all-12-100-80,500000000,r11,1774828,0.36
plrgan,libero,all-12-100-80,500000000,r12,1414727,0.28
plrgan,libero,all-12-100-80,500000000,r13,275980,0.06
plrgan,libero,all-12-100-80,500000000,r14,99559583,19.92
plrgan,libero,all-12-100-80,500000000,r15,25168,0.01
plrgan,libero,all-12-100-80,500000000,r16,822,0.0
plrgan,libero,all-12-100-80,500000000,r17,80883,0.02
plrgan,libero,all-12-100-80,500000000,r18,5,0.0
plrgan,libero,all-12-100-80,500000000,r19,41668073,8.34
plrgan,000webhost,all-12-100-80,500000000,r1,8815215,1.76
plrgan,000webhost,all-12-100-80,500000000,r2,6492861,1.3
plrgan,000webhost,all-12-100-80,500000000,r3,58870,0.01
plrgan,000webhost,all-12-100-80,500000000,r4,4618963,0.92
plrgan,000webhost,all-12-100-80,500000000,r5,9,0.0
plrgan,000webhost,all-12-100-80,500000000,r6,461628549,92.33
plrgan,000webhost,all-12-100-80,500000000,r7,862764,0.17
plrgan,000webhost,all-12-100-80,500000000,r8,1098505,0.22
plrgan,000webhost,all-12-100-80,500000000,r9,22971467,4.59
plrgan,000webhost,all-12-100-80,500000000,r10,369289293,73.86
plrgan,000webhost,all-12-100-80,500000000,r11,4156664,0.83
plrgan,000webhost,all-12-100-80,500000000,r12,2513998,0.5
plrgan,000webhost,all-12-100-80,500000000,r13,2780674,0.56
plrgan,000webhost,all-12-100-80,500000000,r14,21778123,4.36
plrgan,000webhost,all-12-100-80,500000000,r15,51615,0.01
plrgan,000webhost,all-12-100-80,500000000,r16,37953,0.01
plrgan,000webhost,all-12-100-80,500000000,r17,1304705,0.26
plrgan,000webhost,all-12-100-80,500000000,r18,3649052,0.73
plrgan,000webhost,all-12-100-80,500000000,r19,67413660,13.48
plrgan,rockyou,all-12-100-80,500000000,r1,134598408,26.92
plrgan,rockyou,all-12-100-80,500000000,r2,120345275,24.07
plrgan,rockyou,all-12-100-80,500000000,r3,6598596,1.32
plrgan,rockyou,all-12-100-80,500000000,r4,98160744,19.63
plrgan,rockyou,all-12-100-80,500000000,r5,60,0.0
plrgan,rockyou,all-12-100-80,500000000,r6,242860999,48.57
plrgan,rockyou,all-12-100-80,500000000,r7,9554716,1.91
plrgan,rockyou,all-12-100-80,500000000,r8,1181632,0.24
plrgan,rockyou,all-12-100-80,500000000,r9,13635299,2.73
plrgan,rockyou,all-12-100-80,500000000,r10,198687556,39.74
plrgan,rockyou,all-12-100-80,500000000,r11,6975474,1.4
plrgan,rockyou,all-12-100-80,500000000,r12,2916887,0.58
plrgan,rockyou,all-12-100-80,500000000,r13,1624083,0.32
plrgan,rockyou,all-12-100-80,500000000,r14,112346752,22.47
plrgan,rockyou,all-12-100-80,500000000,r15,906635,0.18
plrgan,rockyou,all-12-100-80,500000000,r16,60281,0.01
plrgan,rockyou,all-12-100-80,500000000,r17,1948195,0.39
plrgan,rockyou,all-12-100-80,500000000,r18,2898904,0.58
plrgan,rockyou,all-12-100-80,500000000,r19,49921904,9.98
plrgan,mailru,all-12-100-80,500000000,r1,79569432,15.92
plrgan,mailru,all-12-100-80,500000000,r2,63091535,12.62
plrgan,mailru,all-12-100-80,500000000,r3,477882,0.1
plrgan,mailru,all-12-100-80,500000000,r4,66098717,13.22
plrgan,mailru,all-12-100-80,500000000,r5,0,0.0
plrgan,mailru,all-12-100-80,500000000,r6,341131941,68.24
plrgan,mailru,all-12-100-80,500000000,r7,1598428,0.32
plrgan,mailru,all-12-100-80,500000000,r8,1200471,0.24
plrgan,mailru,all-12-100-80,500000000,r9,10329999,2.07
plrgan,mailru,all-12-100-80,500000000,r10,165973535,33.2
plrgan,mailru,all-12-100-80,500000000,r11,1175079,0.24
plrgan,mailru,all-12-100-80,500000000,r12,2823812,0.56
plrgan,mailru,all-12-100-80,500000000,r13,974846,0.19
plrgan,mailru,all-12-100-80,500000000,r14,84455019,16.89
plrgan,mailru,all-12-100-80,500000000,r15,299973,0.06
plrgan,mailru,all-12-100-80,500000000,r16,25706,0.01
plrgan,mailru,all-12-100-80,500000000,r17,1219216,0.24
plrgan,mailru,all-12-100-80,500000000,r18,0,0.0
plrgan,mailru,all-12-100-80,500000000,r19,43640333,8.73
plrgan,ashleymadison,all-12-100-80,500000000,r1,167742742,33.56
plrgan,ashleymadison,all-12-100-80,500000000,r2,158897212,31.79
plrgan,ashleymadison,all-12-100-80,500000000,r3,2462552,0.49
plrgan,ashleymadison,all-12-100-80,500000000,r4,56257648,11.26
plrgan,ashleymadison,all-12-100-80,500000000,r5,0,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r6,275761982,55.18
plrgan,ashleymadison,all-12-100-80,500000000,r7,2466,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r8,90,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r9,2374,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r10,213567389,42.73
plrgan,ashleymadison,all-12-100-80,500000000,r11,1404,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r12,4047047,0.81
plrgan,ashleymadison,all-12-100-80,500000000,r13,365,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r14,72787357,14.56
plrgan,ashleymadison,all-12-100-80,500000000,r15,207,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r16,0,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r17,143,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r18,34,0.0
plrgan,ashleymadison,all-12-100-80,500000000,r19,47407051,9.49
plrgan,gmail,all-12-100-80,500000000,r1,160008801,32.0
plrgan,gmail,all-12-100-80,500000000,r2,160008801,32.0
plrgan,gmail,all-12-100-80,500000000,r3,0,0.0
plrgan,gmail,all-12-100-80,500000000,r4,71826921,14.37
plrgan,gmail,all-12-100-80,500000000,r5,479,0.0
plrgan,gmail,all-12-100-80,500000000,r6,265396482,53.08
plrgan,gmail,all-12-100-80,500000000,r7,1505644,0.3
plrgan,gmail,all-12-100-80,500000000,r8,74780,0.01
plrgan,gmail,all-12-100-80,500000000,r9,1170442,0.23
plrgan,gmail,all-12-100-80,500000000,r10,186344635,37.27
plrgan,gmail,all-12-100-80,500000000,r11,2040374,0.41
plrgan,gmail,all-12-100-80,500000000,r12,3264019,0.65
plrgan,gmail,all-12-100-80,500000000,r13,313802,0.06
plrgan,gmail,all-12-100-80,500000000,r14,94684107,18.94
plrgan,gmail,all-12-100-80,500000000,r15,771,0.0
plrgan,gmail,all-12-100-80,500000000,r16,527,0.0
plrgan,gmail,all-12-100-80,500000000,r17,3681,0.0
plrgan,gmail,all-12-100-80,500000000,r18,0,0.0
plrgan,gmail,all-12-100-80,500000000,r19,42711793,8.54
plrgan,taobao,all-12-100-80,500000000,r1,80317847,16.06
plrgan,taobao,all-12-100-80,500000000,r2,80307650,16.06
plrgan,taobao,all-12-100-80,500000000,r3,0,0.0
plrgan,taobao,all-12-100-80,500000000,r4,123219581,24.64
plrgan,taobao,all-12-100-80,500000000,r5,0,0.0
plrgan,taobao,all-12-100-80,500000000,r6,296439705,59.29
plrgan,taobao,all-12-100-80,500000000,r7,4129,0.0
plrgan,taobao,all-12-100-80,500000000,r8,115,0.0
plrgan,taobao,all-12-100-80,500000000,r9,4346,0.0
plrgan,taobao,all-12-100-80,500000000,r10,267112078,53.42
plrgan,taobao,all-12-100-80,500000000,r11,1312,0.0
plrgan,taobao,all-12-100-80,500000000,r12,271738,0.05
plrgan,taobao,all-12-100-80,500000000,r13,259,0.0
plrgan,taobao,all-12-100-80,500000000,r14,127243266,25.45
plrgan,taobao,all-12-100-80,500000000,r15,85,0.0
plrgan,taobao,all-12-100-80,500000000,r16,0,0.0
plrgan,taobao,all-12-100-80,500000000,r17,158,0.0
plrgan,taobao,all-12-100-80,500000000,r18,0,0.0
plrgan,taobao,all-12-100-80,500000000,r19,53841062,10.77
plrgan,linkedin,all-12-100-80,500000000,r1,118243742,23.65
plrgan,linkedin,all-12-100-80,500000000,r2,97432689,19.49
plrgan,linkedin,all-12-100-80,500000000,r3,2307378,0.46
plrgan,linkedin,all-12-100-80,500000000,r4,45980827,9.2
plrgan,linkedin,all-12-100-80,500000000,r5,0,0.0
plrgan,linkedin,all-12-100-80,500000000,r6,304137934,60.83
plrgan,linkedin,all-12-100-80,500000000,r7,6505108,1.3
plrgan,linkedin,all-12-100-80,500000000,r8,1362797,0.27
plrgan,linkedin,all-12-100-80,500000000,r9,23766898,4.75
plrgan,linkedin,all-12-100-80,500000000,r10,236923735,47.39
plrgan,linkedin,all-12-100-80,500000000,r11,8989435,1.8
plrgan,linkedin,all-12-100-80,500000000,r12,3307689,0.66
plrgan,linkedin,all-12-100-80,500000000,r13,1938967,0.39
plrgan,linkedin,all-12-100-80,500000000,r14,61031471,12.21
plrgan,linkedin,all-12-100-80,500000000,r15,364804,0.07
plrgan,linkedin,all-12-100-80,500000000,r16,71883,0.01
plrgan,linkedin,all-12-100-80,500000000,r17,985780,0.2
plrgan,linkedin,all-12-100-80,500000000,r18,5971892,1.19
plrgan,linkedin,all-12-100-80,500000000,r19,52258532,10.45
passgpt,libero,all-12-100-80,500000000,r1,140181276,28.04
passgpt,libero,all-12-100-80,500000000,r2,120485928,24.1
passgpt,libero,all-12-100-80,500000000,r3,9416926,1.88
passgpt,libero,all-12-100-80,500000000,r4,73074411,14.62
passgpt,libero,all-12-100-80,500000000,r5,19120,0.0
passgpt,libero,all-12-100-80,500000000,r6,267431264,53.5
passgpt,libero,all-12-100-80,500000000,r7,5864822,1.17
passgpt,libero,all-12-100-80,500000000,r8,835744,0.17
passgpt,libero,all-12-100-80,500000000,r9,12502476,2.5
passgpt,libero,all-12-100-80,500000000,r10,213115776,42.63
passgpt,libero,all-12-100-80,500000000,r11,5356690,1.07
passgpt,libero,all-12-100-80,500000000,r12,1062540,0.21
