model,train-dataset,test-settings,test-hash,n_samples,matches,match_percentage,#uniques,
omen,libero,all-12-100-80,NONE,75000000,31394,33.18008391726645
omen,libero,all-12-100-80,NONE,100000000,31618,33.41682784277667
omen,libero,all-12-100-80,NONE,250000000,38744,40.94824397307038
omen,libero,all-12-100-80,NONE,500000000,39774,42.03684327340753
omen,000webhost,all-12-100-80,NONE,1000000,30209,1.4590822788325601
omen,000webhost,all-12-100-80,NONE,2500000,40343,1.948550311991194
omen,000webhost,all-12-100-80,NONE,5000000,56953,2.7508064823844154
omen,000webhost,all-12-100-80,NONE,7500000,68977,3.3315607384234336
omen,000webhost,all-12-100-80,NONE,10000000,76799,3.7093601222172796
omen,000webhost,all-12-100-80,NONE,25000000,102802,4.965294330449365
omen,000webhost,all-12-100-80,NONE,50000000,138899,6.7087645882870595
omen,000webhost,all-12-100-80,NONE,75000000,146610,7.081202717721265
omen,000webhost,all-12-100-80,NONE,100000000,150657,7.276671153698469
omen,000webhost,all-12-100-80,NONE,250000000,226399,10.934978610527088
omen,000webhost,all-12-100-80,NONE,500000000,242688,11.721730612907292
omen,ashleymadison,all-12-100-80,NONE,1000000,6478,8.71624439929495
omen,ashleymadison,all-12-100-80,NONE,2500000,9702,13.054183878042544
omen,ashleymadison,all-12-100-80,NONE,5000000,12136,16.32916672272978
omen,ashleymadison,all-12-100-80,NONE,7500000,15286,20.567538111704632
omen,ashleymadison,all-12-100-80,NONE,10000000,16379,22.038185707942574
omen,ashleymadison,all-12-100-80,NONE,25000000,20111,27.05964666783278
omen,ashleymadison,all-12-100-80,NONE,50000000,25279,34.013266775204855
omen,ashleymadison,all-12-100-80,NONE,75000000,27335,36.77964505321511
omen,ashleymadison,all-12-100-80,NONE,100000000,27936,37.58829940393697
omen,ashleymadison,all-12-100-80,NONE,250000000,33529,45.11376327013899
omen,ashleymadison,all-12-100-80,NONE,500000000,36057,48.515224499132145
omen,gmail,all-12-100-80,NONE,1000000,36701,5.1261816434621315
omen,gmail,all-12-100-80,NONE,2500000,59869,8.3621527700181
omen,gmail,all-12-100-80,NONE,5000000,64699,9.036779001944264
omen,gmail,all-12-100-80,NONE,7500000,88090,12.303897467986681
omen,gmail,all-12-100-80,NONE,10000000,98120,13.704829374036247
omen,gmail,all-12-100-80,NONE,25000000,116570,16.28181777549333
omen,gmail,all-12-100-80,NONE,50000000,150257,20.98702147630009
omen,gmail,all-12-100-80,NONE,75000000,168862,23.58565937381277
